Drill_Num,Lithology,Deep_begin,Deep_end,Sample_Num,Lab_Num,Org_Moist%,Dry_Ash%,Org_Ash%,Dry_Vol%,Org_Vol%,Dry_Sulp%,Org_Sulp%,Dry_Hydro%,Org_Hydro%,Dry_GCV,Org_GCV,Dry_OVC,Org_OVC,Density
T-03,LG,28.45,29.05,4728,L22-2182,28.8944444444444,41.6439846480823,29.6111866394892,39.383343090523,28.0037449008669,8.0865146723081,5.74996118282619,3.78001377588091,2.68779979541666,3888.59387378219,2765.00627725212,3702.61719600885,2473.84708287318,1.89
T-03,LG,32,32.2,4729,L22-2192,28.3138888888889,30.836477632459,22.1054716183575,34.9137457342624,25.0283065601141,6.24631933425711,4.47774341831037,3.61287511969321,2.58992967260896,4545.41590419784,3258.43189554538,4367.66244830893,2975.28096676413,
T-04,LG,7.9,8.2,4917,L22-2172,29.6527777777778,36.7946385101104,25.8840061185707,43.0708103636859,30.299118679454,7.23125759714221,5.08698885132296,4.0964093421982,2.88171018308804,4173.00754637525,2935.5948919987,3971.4642067391,2630.72447321299,
T-04,LG,9.8,10,4922,L22-2208,30.65,39.0081240072344,27.0521339990171,34.2677536392732,23.764687148836,5.78333829535913,4.01074510783156,3.30234191898889,2.29017412081879,3824.23783555472,2652.1089389572,3661.76261314046,2370.85737221291,
T-05,ZC,15.1,15.45,4814,L22-2133,25.1444444444444,55.9425421336854,41.876100706071,31.5373890576798,23.6074877868432,6.16983599389778,4.61846501009882,2.92360845379469,2.18848335035721,2854.03297658018,2136.40224035785,2710.19144065348,1890.43441507583,1.55
T-05,LG,15.7,16.2,4815,L22-2134,31.6555555555556,25.382154342978,17.3472923737397,42.1878812641331,28.8330730728536,7.10236652215324,4.85407294197384,4.29326850793151,2.93421051025408,5018.2614633977,3429.7029179288,4807.03265280747,3111.23420526875,1.3929
T-05,ZC,17.8,18,4816,L22-2197,28.3888888888889,51.1909039453897,36.6583751031152,34.9506457949726,25.0285457942887,5.53476275783621,3.96350510825048,3.02206931733837,2.16413741669398,2846.72947480926,2038.57460723841,2698.04366439621,1775.96015744818,
T-06,LG,24.6,24.9,3816,L22-2189,27.6305555555556,36.2373313605919,26.2247553871528,41.2543272118631,29.8555274125186,9.5116424085162,6.88352276858535,4.05444886716332,2.93418212045017,4319.32106759199,3125.86866038817,4119.84218332755,2829.53884450646,
T-06,LG,25.1,25.3,3817,L22-2193,29.8861111111111,51.1984344411756,35.8972134369365,34.6854888616409,24.3193451210188,4.56611729667169,3.20148240792473,3.00854239784043,2.10940607399695,2853.70586917043,2000.84416232586,2705.68558319669,1732.6877723741,
T-07,LG,4.2,4.5,4919,L22-2158,35.9638888888889,36.498259838147,23.3720662235778,39.2620863114061,25.1419132149124,5.96127178216088,3.81736662205985,3.78965194533689,2.42674573044031,4127.12029748802,2642.84733938865,3940.66942177745,2325.6500605621,
T-07,ZC,4.95,5.15,4920,L22-2152,34.4194444444444,67.923558168866,44.5446468002433,23.2283581912775,15.2332863482742,1.45406900432958,0.953586531200475,1.89837343971958,1.24496384828721,1717.61605524648,1126.42215134206,1624.21608201227,875.862985561883,
T-07,LG,6.9,7,4921,L22-2213,30.2055555555556,24.9743495991506,17.4307085563405,44.0282012191653,30.7292384397985,6.99347775091952,4.88105894360011,4.3437062277282,3.03166562994164,4921.61972086999,3435.01714184942,4707.90937446576,3119.72863730074,1.42
T-08,ZC,3.5,4.1,4731,L22-2201,26.5527777777778,54.1089706307308,39.7415359013098,41.2028425959926,30.2623433633511,3.0987656811448,2.27595731597638,3.38241023717171,2.4842863633627,2614.42975538765,1920.22603228347,2448.0151717188,1651.95886542824,
T-08,CS,4.1,4.45,4732,L22-2202,25.5666666666667,56.4061788630228,41.9849991337099,42.0973710005067,31.3344764813772,0.432286958683491,0.321765592913412,1.95996839670698,1.45886980994889,369.959742271323,275.373368163955,273.52929715334,62.9803068478024,1.88
T-08,LG,4.45,5.2,4733,L22-2171,29.1916666666667,42.7629214300078,30.2797119492313,38.260198316899,27.0914087582243,7.55065716248719,5.34649449247114,3.6666804326788,2.59631530303931,3792.18277608508,2685.18142069957,3611.78209879728,2396.88854112337,1.35
T-08,ZC,5.85,6.75,4734,L22-2219,26.5055555555556,46.0605422239349,33.8519396155797,34.0542437028536,25.0279772191694,5.9504203346535,4.37322836706284,3.25022527963561,2.38873501246108,3479.48207650265,2557.22602166964,3319.57099274458,2293.919703501,1.85
T-08,CS,6.75,6.95,4735,L22-2176,25.6805555555556,56.8466341552852,42.2481026895738,20.3598392929983,15.1313194523381,0,0,0.327874486788345,0.243674497056171,191.882515109295,142.606019215255,175.751090359308,<50,1.74
T-08,LG,6.95,7.2,4736,L22-2199,29.675,28.1778662143656,19.8160844152526,41.1427946294394,28.9336703231533,6.55735963946497,4.61146316645374,4.14751792513508,2.91674198085125,4797.83955051359,3374.08066389868,4593.78166859695,3067.3644584408,
T-08,LG,7.6,7.68,4737,L22-2183,27.6777777777778,40.2580052464188,29.1154840165489,40.129697753044,29.0226891860626,5.36420448366904,3.87951188713353,3.58190349205801,2.59051220331173,3583.37096939877,2591.57351553518,3407.14131758952,2311.89253735446,
T-08,LG,9.1,9.4,4738,L22-2178,28.1277777777778,44.5004928211303,31.9834930903868,40.1246128491706,28.8384509127622,5.31147595880546,3.81747580439257,3.55149432928387,2.55253789655252,3364.84273002266,2418.38724435017,3190.10920902189,2138.09960206201,1.52
T-08,CS,9.4,9.65,4739,L22-2206,19.6027777777778,81.6102813614153,65.6123992623179,13.9130954452055,11.1857422630717,2.82141356037844,2.26833812994537,1.08926684977498,0.875740289806594,925.646765462398,744.194287021616,872.054836453468,593.292586985354,
T-08,ZC,10.5,10.6,4740,L22-2150,19.6083333333333,79.8630005987023,64.2031972313068,13.0187212439755,10.4659669867193,2.36134101838006,1.89832140035937,0.93843717161359,0.754425282879692,870.023200581759,699.426151334352,823.85209173837,554.462594083338,
T-08,ZC,11.1,11.2,4741,L22-2168,18.6361111111111,79.7742404374262,64.9074243514625,14.6815491688638,11.9454793529219,1.1206405582979,0.911796738697329,0.999237934874931,0.813018843067267,793.205254881603,645.382642242695,744.042748485756,502.883504052675,1.86
